"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","DRR751831","DRR751832","DRR751833","DRR751834","DRR751835","DRR751836","DRR751837","DRR751838","DRR751839","DRR751840","DRR751841"
"ssaJ","","Secretion system apparatus lipoprotein SsaJ","11","11","1","1","357","","","","572","572","572","IFAABLLP_00031","KILBOEPI_00169","HAOMLHEB_00429","GMHKIMCO_00400","FEMKLHDF_04038","FAHJDOHN_04358","PKFAGLNB_04350","DHLPIOKO_00032","MMGGOMGI_04137","COBIJBHN_04018","MMKPNOMF_04246"
"sctC2","","SPI-2 type 3 secretion system secretin","11","11","1","1","360","","","","1538","1538","1538","IFAABLLP_00033","KILBOEPI_00167","HAOMLHEB_00427","GMHKIMCO_00398","FEMKLHDF_04036","FAHJDOHN_04360","PKFAGLNB_04348","DHLPIOKO_00034","MMGGOMGI_04139","COBIJBHN_04020","MMKPNOMF_04248"
"group_1115","","hypothetical protein","11","11","1","1","361","","","","455","455","455","IFAABLLP_00034","KILBOEPI_00166","HAOMLHEB_00426","GMHKIMCO_00397","FEMKLHDF_04035","FAHJDOHN_04361","PKFAGLNB_04347","DHLPIOKO_00035","MMGGOMGI_04140","COBIJBHN_04021","MMKPNOMF_04249"
"group_1116","","hypothetical protein","11","11","1","1","363","","","","413","413","413","IFAABLLP_00035","KILBOEPI_00165","HAOMLHEB_00425","GMHKIMCO_00396","FEMKLHDF_04034","FAHJDOHN_04362","PKFAGLNB_04346","DHLPIOKO_00036","MMGGOMGI_04141","COBIJBHN_04022","MMKPNOMF_04250"
"group_1118","","hypothetical protein","11","11","1","1","365","","","","458","464","461","IFAABLLP_00037","KILBOEPI_00163","HAOMLHEB_00423","GMHKIMCO_00394","FEMKLHDF_04032","FAHJDOHN_04364","PKFAGLNB_04344","DHLPIOKO_00038","MMGGOMGI_04143","COBIJBHN_04024","MMKPNOMF_04252"
"yscU","","Yop proteins translocation protein U","11","11","1","1","366","","","","1037","1037","1037","IFAABLLP_00038","KILBOEPI_00162","HAOMLHEB_00422","GMHKIMCO_00393","FEMKLHDF_04031","FAHJDOHN_04365","PKFAGLNB_04343","DHLPIOKO_00039","MMGGOMGI_04144","COBIJBHN_04025","MMKPNOMF_04253"
"group_1120","","hypothetical protein","11","11","1","1","367","","","","776","776","776","IFAABLLP_00039","KILBOEPI_00161","HAOMLHEB_00421","GMHKIMCO_00392","FEMKLHDF_04030","FAHJDOHN_04366","PKFAGLNB_04342","DHLPIOKO_00040","MMGGOMGI_04145","COBIJBHN_04026","MMKPNOMF_04254"
"group_1121","","hypothetical protein","11","11","1","1","368","","","","269","269","269","IFAABLLP_00040","KILBOEPI_00160","HAOMLHEB_00420","GMHKIMCO_00391","FEMKLHDF_04029","FAHJDOHN_04367","PKFAGLNB_04341","DHLPIOKO_00041","MMGGOMGI_04146","COBIJBHN_04027","MMKPNOMF_04255"
"group_1122","","hypothetical protein","11","11","1","1","373","","","","599","599","599","IFAABLLP_00043","KILBOEPI_00157","HAOMLHEB_00417","GMHKIMCO_00388","FEMKLHDF_04026","FAHJDOHN_04370","PKFAGLNB_04338","DHLPIOKO_00044","MMGGOMGI_04149","COBIJBHN_04030","MMKPNOMF_04258"
"group_1123","","hypothetical protein","11","11","1","1","375","","","","218","218","218","IFAABLLP_00045","KILBOEPI_00155","HAOMLHEB_00415","GMHKIMCO_00386","FEMKLHDF_04024","FAHJDOHN_04372","PKFAGLNB_04336","DHLPIOKO_00046","MMGGOMGI_04151","COBIJBHN_04032","MMKPNOMF_04260"
"group_1124","","hypothetical protein","11","11","1","1","377","","","","371","371","371","IFAABLLP_00046","KILBOEPI_00154","HAOMLHEB_00414","GMHKIMCO_00385","FEMKLHDF_04023","FAHJDOHN_04373","PKFAGLNB_04335","DHLPIOKO_00047","MMGGOMGI_04152","COBIJBHN_04033","MMKPNOMF_04261"
"group_1125","","hypothetical protein","11","11","1","1","527","","","","173","230","224","IFAABLLP_00059","KILBOEPI_00141","HAOMLHEB_00401","GMHKIMCO_00372","FEMKLHDF_02248","FAHJDOHN_02918","PKFAGLNB_03318","DHLPIOKO_00060","MMGGOMGI_01763","COBIJBHN_02702","MMKPNOMF_01766"
"melB","","Melibiose permease","11","11","1","1","521","","","","1070","1409","1378","IFAABLLP_00065","KILBOEPI_00135","HAOMLHEB_00395","GMHKIMCO_00366","FEMKLHDF_02254","FAHJDOHN_02924","PKFAGLNB_03324","DHLPIOKO_00066","MMGGOMGI_01757","COBIJBHN_02696","MMKPNOMF_01760"
"phnG","","Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnG","11","11","1","1","502","","","","452","452","452","IFAABLLP_00087","KILBOEPI_00113","HAOMLHEB_00373","GMHKIMCO_00344","FEMKLHDF_02276","FAHJDOHN_02946","PKFAGLNB_03346","DHLPIOKO_00088","MMGGOMGI_01735","COBIJBHN_02672","MMKPNOMF_01738"
"phnN","","Ribose 1,5-bisphosphate phosphokinase PhnN","11","11","1","1","495","","","","557","557","557","IFAABLLP_00094","KILBOEPI_00106","HAOMLHEB_00366","GMHKIMCO_00337","FEMKLHDF_02283","FAHJDOHN_02953","PKFAGLNB_03353","DHLPIOKO_00095","MMGGOMGI_01728","COBIJBHN_02665","MMKPNOMF_01731"
"nrfG","","Formate-dependent nitrite reductase complex subunit NrfG","11","11","1","1","473","","","","596","596","596","IFAABLLP_00109","KILBOEPI_00091","HAOMLHEB_00351","GMHKIMCO_00322","FEMKLHDF_02305","FAHJDOHN_02968","PKFAGLNB_03368","DHLPIOKO_00110","MMGGOMGI_01706","COBIJBHN_02649","MMKPNOMF_01709"
"group_1130","","hypothetical protein","11","11","1","1","449","","","","485","503","501","IFAABLLP_00134","KILBOEPI_00066","HAOMLHEB_00326","GMHKIMCO_00297","FEMKLHDF_02330","FAHJDOHN_02993","PKFAGLNB_03393","DHLPIOKO_00135","MMGGOMGI_01681","COBIJBHN_02624","MMKPNOMF_01684"
"dusA","","tRNA-dihydrouridine(20/20a) synthase","11","11","1","1","443","","","","1037","1037","1037","IFAABLLP_00140","KILBOEPI_00060","HAOMLHEB_00320","GMHKIMCO_00291","FEMKLHDF_02336","FAHJDOHN_02999","PKFAGLNB_03399","DHLPIOKO_00141","MMGGOMGI_01675","COBIJBHN_02618","MMKPNOMF_01678"
"group_1132","","hypothetical protein","11","11","1","1","439","","","","707","707","707","IFAABLLP_00141","KILBOEPI_00059","HAOMLHEB_00319","GMHKIMCO_00290","FEMKLHDF_02337","FAHJDOHN_03438","PKFAGLNB_03556","DHLPIOKO_00142","MMGGOMGI_01674","COBIJBHN_03494","MMKPNOMF_01677"
"lamB","","Maltoporin","11","11","1","1","424","","","","1340","1340","1340","IFAABLLP_00156","KILBOEPI_00044","HAOMLHEB_00304","GMHKIMCO_00275","FEMKLHDF_02351","FAHJDOHN_03452","PKFAGLNB_03570","DHLPIOKO_00157","MMGGOMGI_01660","COBIJBHN_03508","MMKPNOMF_01663"
"group_1135","","hypothetical protein","11","11","1","1","415","","","","737","737","737","IFAABLLP_00166","KILBOEPI_00034","HAOMLHEB_00294","GMHKIMCO_00265","FEMKLHDF_02360","FAHJDOHN_03462","PKFAGLNB_03580","DHLPIOKO_00167","MMGGOMGI_01651","COBIJBHN_03518","MMKPNOMF_01654"
"yjaB","","Peptidyl-lysine N-acetyltransferase YjaB","11","11","1","1","386","","","","443","443","443","IFAABLLP_00199","KILBOEPI_00001","HAOMLHEB_00261","GMHKIMCO_00232","FEMKLHDF_02384","FAHJDOHN_03492","PKFAGLNB_03610","DHLPIOKO_00200","MMGGOMGI_01627","COBIJBHN_05094","MMKPNOMF_01630"
"group_1140","","hypothetical protein","11","11","1","1","3746","","","","368","368","368","IFAABLLP_00217","KILBOEPI_00810","HAOMLHEB_00477","GMHKIMCO_00604","FEMKLHDF_01724","FAHJDOHN_00915","PKFAGLNB_01117","DHLPIOKO_01845","MMGGOMGI_01461","COBIJBHN_02247","MMKPNOMF_01464"
"yfeY","","putative protein YfeY","11","11","1","1","3760","","","","536","575","567","IFAABLLP_00229","KILBOEPI_00798","HAOMLHEB_00490","GMHKIMCO_00591","FEMKLHDF_01736","FAHJDOHN_00927","PKFAGLNB_01105","DHLPIOKO_01833","MMGGOMGI_01473","COBIJBHN_02261","MMKPNOMF_01476"
"eutM","","Bacterial microcompartment shell protein EutM","11","11","1","1","3776","","","","293","335","331","IFAABLLP_00245","KILBOEPI_00782","HAOMLHEB_00506","GMHKIMCO_00575","FEMKLHDF_01752","FAHJDOHN_00943","PKFAGLNB_01089","DHLPIOKO_01817","MMGGOMGI_01489","COBIJBHN_02278","MMKPNOMF_01492"
"vapB","","Antitoxin VapB","11","11","1","1","3798","","","","227","266","237","IFAABLLP_00268","KILBOEPI_00759","HAOMLHEB_00529","GMHKIMCO_00552","FEMKLHDF_01775","FAHJDOHN_00966","PKFAGLNB_01066","DHLPIOKO_01794","MMGGOMGI_01512","COBIJBHN_02302","MMKPNOMF_01515"
"group_1144","","hypothetical protein","11","11","1","1","3800","","","Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits","230","230","230","IFAABLLP_00270","KILBOEPI_00757","HAOMLHEB_00531","GMHKIMCO_00550","FEMKLHDF_01777","FAHJDOHN_00968","PKFAGLNB_01064","DHLPIOKO_01792","MMGGOMGI_01514","COBIJBHN_02304","MMKPNOMF_01517"
"gcvR","","Glycine cleavage system transcriptional repressor","11","11","1","1","3803","","","","572","584","574","IFAABLLP_00273","KILBOEPI_00754","HAOMLHEB_00534","GMHKIMCO_00547","FEMKLHDF_01780","FAHJDOHN_00971","PKFAGLNB_01061","DHLPIOKO_01789","MMGGOMGI_01517","COBIJBHN_02307","MMKPNOMF_01520"
"hyfA","","Hydrogenase-4 component A","11","11","1","1","3805","","","","617","617","617","IFAABLLP_00275","KILBOEPI_00752","HAOMLHEB_00536","GMHKIMCO_00545","FEMKLHDF_01782","FAHJDOHN_00973","PKFAGLNB_01059","DHLPIOKO_01787","MMGGOMGI_01519","COBIJBHN_02309","MMKPNOMF_01522"
"hyfC","","Hydrogenase-4 component C","11","11","1","1","3808","","","","944","947","946","IFAABLLP_00277","KILBOEPI_00750","HAOMLHEB_00538","GMHKIMCO_00543","FEMKLHDF_01784","FAHJDOHN_00975","PKFAGLNB_01057","DHLPIOKO_01785","MMGGOMGI_01521","COBIJBHN_02312","MMKPNOMF_01524"
"group_1149","","hypothetical protein","11","11","1","1","3819","","","","413","413","413","IFAABLLP_00284","KILBOEPI_00743","HAOMLHEB_00545","GMHKIMCO_00536","FEMKLHDF_01794","FAHJDOHN_00982","PKFAGLNB_01050","DHLPIOKO_01778","MMGGOMGI_01531","COBIJBHN_02324","MMKPNOMF_01534"
"yphA","","Inner membrane protein YphA","11","11","1","1","3683","","","","299","422","388","IFAABLLP_00341","KILBOEPI_01481","HAOMLHEB_00602","GMHKIMCO_00479","FEMKLHDF_01852","FAHJDOHN_01039","PKFAGLNB_00993","DHLPIOKO_01916","MMGGOMGI_01589","COBIJBHN_02390","MMKPNOMF_01592"
"mglA_2","","Galactose/methyl galactoside import ATP-binding protein MglA","11","11","1","1","3679","","","","512","1511","1420","IFAABLLP_00345","KILBOEPI_01477","HAOMLHEB_00606","GMHKIMCO_00475","FEMKLHDF_01857","FAHJDOHN_01043","PKFAGLNB_00989","DHLPIOKO_01920","MMGGOMGI_01594","COBIJBHN_02386","MMKPNOMF_01597"
"qseG","","Quorum-sensing regulator protein G","11","11","1","1","3670","","","","713","713","713","IFAABLLP_00353","KILBOEPI_01468","HAOMLHEB_00614","GMHKIMCO_00467","FEMKLHDF_01865","FAHJDOHN_01053","PKFAGLNB_00979","DHLPIOKO_01928","MMGGOMGI_01602","COBIJBHN_02376","MMKPNOMF_01605"
"pdxJ","","Pyridoxine 5'-phosphate synthase","11","11","1","1","3661","","","","731","731","731","IFAABLLP_00364","KILBOEPI_01457","HAOMLHEB_00625","GMHKIMCO_00456","FEMKLHDF_01876","FAHJDOHN_01064","PKFAGLNB_00968","DHLPIOKO_01939","MMGGOMGI_01613","COBIJBHN_02365","MMKPNOMF_01616"
"dmsB_1","","Anaerobic dimethyl sulfoxide reductase chain B","11","11","1","1","3281","","","","554","617","611","IFAABLLP_00402","KILBOEPI_00707","HAOMLHEB_00820","GMHKIMCO_00791","FEMKLHDF_00012","FAHJDOHN_02517","PKFAGLNB_02916","DHLPIOKO_04524","MMGGOMGI_00012","COBIJBHN_03370","MMKPNOMF_00012"
"uidB","","Glucuronide carrier protein","11","11","1","1","5628","","","","1229","1373","1359","IFAABLLP_00448","KILBOEPI_00680","HAOMLHEB_00773","GMHKIMCO_00744","FEMKLHDF_00065","FAHJDOHN_02490","PKFAGLNB_02889","DHLPIOKO_04082","MMGGOMGI_00064","COBIJBHN_03397","MMKPNOMF_00064"
"ydhW","","putative protein YdhW","11","11","1","1","5335","","","","632","638","637","IFAABLLP_00508","KILBOEPI_00620","HAOMLHEB_00711","GMHKIMCO_00682","FEMKLHDF_00125","FAHJDOHN_03687","PKFAGLNB_03731","DHLPIOKO_02625","MMGGOMGI_00124","COBIJBHN_00562","MMKPNOMF_00124"
"ynhG","","putative L,D-transpeptidase YnhG","11","11","1","1","5329","","","","1004","1304","1031","IFAABLLP_00514","KILBOEPI_00614","HAOMLHEB_00705","GMHKIMCO_00676","FEMKLHDF_00131","FAHJDOHN_03693","PKFAGLNB_03737","DHLPIOKO_02619","MMGGOMGI_00130","COBIJBHN_00556","MMKPNOMF_00130"
"rhaS_1","","HTH-type transcriptional activator RhaS","11","11","1","1","5309","","","","449","911","785","IFAABLLP_00535","KILBOEPI_00593","HAOMLHEB_00684","GMHKIMCO_00655","FEMKLHDF_00151","FAHJDOHN_03714","PKFAGLNB_03758","DHLPIOKO_02598","MMGGOMGI_00150","COBIJBHN_00535","MMKPNOMF_00150"
"ydiE","","putative protein YdiE","11","11","1","1","5297","","","","191","191","191","IFAABLLP_00544","KILBOEPI_00583","HAOMLHEB_00674","GMHKIMCO_00645","FEMKLHDF_00160","FAHJDOHN_03724","PKFAGLNB_03767","DHLPIOKO_02588","MMGGOMGI_00159","COBIJBHN_00523","MMKPNOMF_00159"
"selO","","Protein nucleotidyltransferase SelO","11","11","1","1","5296","","","","1436","1436","1436","IFAABLLP_00545","KILBOEPI_00582","HAOMLHEB_00673","GMHKIMCO_00644","FEMKLHDF_00161","FAHJDOHN_03725","PKFAGLNB_03768","DHLPIOKO_02587","MMGGOMGI_00160","COBIJBHN_00522","MMKPNOMF_00160"
"ydiV","","Putative anti-FlhC(2)FlhD(4) factor YdiV","11","11","1","1","5295","","","","713","713","713","IFAABLLP_00546","KILBOEPI_00581","HAOMLHEB_00672","GMHKIMCO_00643","FEMKLHDF_00162","FAHJDOHN_03726","PKFAGLNB_03769","DHLPIOKO_02586","MMGGOMGI_00161","COBIJBHN_00521","MMKPNOMF_00161"
"group_1169","","hypothetical protein","11","11","1","1","5277","","","","197","758","707","IFAABLLP_00562","KILBOEPI_01716","HAOMLHEB_04522","GMHKIMCO_04579","FEMKLHDF_00179","FAHJDOHN_02186","PKFAGLNB_02788","DHLPIOKO_02924","MMGGOMGI_00178","COBIJBHN_00506","MMKPNOMF_00178"
"cedA","","Cell division activator CedA","11","11","1","1","5267","","","","242","263","257","IFAABLLP_00572","KILBOEPI_01726","HAOMLHEB_04512","GMHKIMCO_04589","FEMKLHDF_00189","FAHJDOHN_02196","PKFAGLNB_02778","DHLPIOKO_02914","MMGGOMGI_00188","COBIJBHN_00496","MMKPNOMF_00188"
"group_1171","","hypothetical protein","11","11","1","1","5734","","","","257","257","257","IFAABLLP_00575","KILBOEPI_04890","HAOMLHEB_04878","GMHKIMCO_04909","FEMKLHDF_04482","FAHJDOHN_01638","PKFAGLNB_01494","DHLPIOKO_04606","MMGGOMGI_04643","COBIJBHN_04436","MMKPNOMF_04797"
"smg","","Protein Smg","11","11","1","1","5738","","","","473","473","473","IFAABLLP_00579","KILBOEPI_04894","HAOMLHEB_04874","GMHKIMCO_04913","FEMKLHDF_04486","FAHJDOHN_01634","PKFAGLNB_01498","DHLPIOKO_04602","MMGGOMGI_04639","COBIJBHN_04432","MMKPNOMF_04793"
"outO","","hypothetical protein","11","11","1","1","5776","","","","299","467","436","IFAABLLP_00618","KILBOEPI_04933","HAOMLHEB_04835","GMHKIMCO_04952","FEMKLHDF_04525","FAHJDOHN_01594","PKFAGLNB_01538","DHLPIOKO_04563","MMGGOMGI_04600","COBIJBHN_04393","MMKPNOMF_04754"
"group_1176","","hypothetical protein","11","11","1","1","5796","","","","998","1022","1019","IFAABLLP_00636","KILBOEPI_00996","HAOMLHEB_01296","GMHKIMCO_01273","FEMKLHDF_01528","FAHJDOHN_01574","PKFAGLNB_01558","DHLPIOKO_00891","MMGGOMGI_01430","COBIJBHN_00607","MMKPNOMF_01433"
"deoB_1","","Phosphopentomutase","11","11","1","1","5822","","","","1226","1226","1226","IFAABLLP_00662","KILBOEPI_00970","HAOMLHEB_01270","GMHKIMCO_01247","FEMKLHDF_01554","FAHJDOHN_01548","PKFAGLNB_01584","DHLPIOKO_00865","MMGGOMGI_01404","COBIJBHN_00634","MMKPNOMF_01407"
"yhfX","","putative protein YhfX","11","11","1","1","5823","","","","1163","1163","1163","IFAABLLP_00663","KILBOEPI_00969","HAOMLHEB_01269","GMHKIMCO_01246","FEMKLHDF_01555","FAHJDOHN_01547","PKFAGLNB_01585","DHLPIOKO_00864","MMGGOMGI_01403","COBIJBHN_00635","MMKPNOMF_01406"
"group_1179","","hypothetical protein","11","11","1","1","5824","","","","281","362","354","IFAABLLP_00664","KILBOEPI_00968","HAOMLHEB_01268","GMHKIMCO_01245","FEMKLHDF_01556","FAHJDOHN_01546","PKFAGLNB_01586","DHLPIOKO_00863","MMGGOMGI_01402","COBIJBHN_00636","MMKPNOMF_01405"
"group_1180","","hypothetical protein","11","11","1","1","5825","","","","905","905","905","IFAABLLP_00665","KILBOEPI_00967","HAOMLHEB_01267","GMHKIMCO_01244","FEMKLHDF_01557","FAHJDOHN_01545","PKFAGLNB_01587","DHLPIOKO_00862","MMGGOMGI_01401","COBIJBHN_00637","MMKPNOMF_01404"
"aroK","","Shikimate kinase 1","11","11","1","1","5832","","","","521","677","535","IFAABLLP_00672","KILBOEPI_00960","HAOMLHEB_01260","GMHKIMCO_01237","FEMKLHDF_01564","FAHJDOHN_01538","PKFAGLNB_01594","DHLPIOKO_00855","MMGGOMGI_01394","COBIJBHN_00644","MMKPNOMF_01397"
"group_1183","","hypothetical protein","11","11","1","1","5844","","","","1724","1724","1724","IFAABLLP_00684","KILBOEPI_00948","HAOMLHEB_01248","GMHKIMCO_01225","FEMKLHDF_01576","FAHJDOHN_01526","PKFAGLNB_01606","DHLPIOKO_00843","MMGGOMGI_01382","COBIJBHN_00656","MMKPNOMF_01385"
"group_1184","","hypothetical protein","11","11","1","1","5888","","","","458","494","490","IFAABLLP_00727","KILBOEPI_00905","HAOMLHEB_01205","GMHKIMCO_01182","FEMKLHDF_01621","FAHJDOHN_01483","PKFAGLNB_01649","DHLPIOKO_00800","MMGGOMGI_01337","COBIJBHN_00699","MMKPNOMF_01340"
"lptB_1","","Lipopolysaccharide export system ATP-binding protein LptB","11","11","1","1","5899","","","","767","794","769","IFAABLLP_00738","KILBOEPI_00894","HAOMLHEB_01194","GMHKIMCO_01171","FEMKLHDF_01632","FAHJDOHN_01473","PKFAGLNB_01659","DHLPIOKO_00789","MMGGOMGI_01326","COBIJBHN_00711","MMKPNOMF_01329"
"group_1186","","hypothetical protein","11","11","1","1","5911","","","","359","359","359","IFAABLLP_00750","KILBOEPI_00882","HAOMLHEB_01182","GMHKIMCO_01159","FEMKLHDF_01644","FAHJDOHN_01461","PKFAGLNB_01671","DHLPIOKO_00777","MMGGOMGI_01314","COBIJBHN_00723","MMKPNOMF_01317"
"yhhS","","putative MFS-type transporter YhhS","11","11","1","1","5917","","","","1217","1250","1241","IFAABLLP_00756","KILBOEPI_00876","HAOMLHEB_01176","GMHKIMCO_01153","FEMKLHDF_01650","FAHJDOHN_01455","PKFAGLNB_01677","DHLPIOKO_00771","MMGGOMGI_01308","COBIJBHN_00729","MMKPNOMF_01311"
"yhhT_2","","Putative transport protein YhhT","11","11","1","1","5918","","","","1049","1049","1049","IFAABLLP_00757","KILBOEPI_00875","HAOMLHEB_01175","GMHKIMCO_01152","FEMKLHDF_01651","FAHJDOHN_01454","PKFAGLNB_01678","DHLPIOKO_00770","MMGGOMGI_01307","COBIJBHN_00730","MMKPNOMF_01310"
"yafV","","Omega-amidase YafV","11","11","1","2","180","","","","767","770","767","IFAABLLP_00765","KILBOEPI_00563","HAOMLHEB_03316","GMHKIMCO_03370","FEMKLHDF_02756","FAHJDOHN_03493","PKFAGLNB_03536","DHLPIOKO_03180","MMGGOMGI_02503","COBIJBHN_04526","MMKPNOMF_02369"
"flhA_2","","Flagellar biosynthesis protein FlhA","11","11","1","2","219","","","","1739","2093","1964","IFAABLLP_00776","KILBOEPI_00552","HAOMLHEB_03305","GMHKIMCO_03381","FEMKLHDF_02744","FAHJDOHN_03505","PKFAGLNB_03524","DHLPIOKO_03191","MMGGOMGI_02515","COBIJBHN_04514","MMKPNOMF_02381"
"lafU","","Chemotaxis protein LafU","11","11","1","2","235","","","","635","923","818","IFAABLLP_00818","KILBOEPI_00510","HAOMLHEB_03263","GMHKIMCO_03423","FEMKLHDF_02743","FAHJDOHN_03549","PKFAGLNB_03481","DHLPIOKO_03233","MMGGOMGI_02516","COBIJBHN_04513","MMKPNOMF_02382"
"group_1198","","hypothetical protein","11","11","1","2","302","","","","863","863","863","IFAABLLP_00882","KILBOEPI_00446","HAOMLHEB_02843","GMHKIMCO_03052","FEMKLHDF_02695","FAHJDOHN_02581","PKFAGLNB_01701","DHLPIOKO_02215","MMGGOMGI_02564","COBIJBHN_04177","MMKPNOMF_02430"
"cynR_3","","HTH-type transcriptional regulator CynR","11","11","1","2","323","","","","899","899","899","IFAABLLP_00904","KILBOEPI_00424","HAOMLHEB_02865","GMHKIMCO_03074","FEMKLHDF_02673","FAHJDOHN_02559","PKFAGLNB_01723","DHLPIOKO_02193","MMGGOMGI_02586","COBIJBHN_03842","MMKPNOMF_02452"
"cynT","","Carbonic anhydrase 1","11","11","1","2","324","","","","659","692","662","IFAABLLP_00905","KILBOEPI_00423","HAOMLHEB_02866","GMHKIMCO_03075","FEMKLHDF_02672","FAHJDOHN_02558","PKFAGLNB_01724","DHLPIOKO_02192","MMGGOMGI_02587","COBIJBHN_03843","MMKPNOMF_02453"
"yycB","","putative transporter YycB","11","11","1","2","326","","","","1181","1181","1181","IFAABLLP_00907","KILBOEPI_00421","HAOMLHEB_02868","GMHKIMCO_03077","FEMKLHDF_02670","FAHJDOHN_02556","PKFAGLNB_01726","DHLPIOKO_02190","MMGGOMGI_02589","COBIJBHN_03845","MMKPNOMF_02455"
"group_1202","","hypothetical protein","11","11","1","2","331","","","","833","947","936","IFAABLLP_00911","KILBOEPI_00417","HAOMLHEB_02872","GMHKIMCO_03081","FEMKLHDF_02665","FAHJDOHN_02552","PKFAGLNB_01730","DHLPIOKO_02186","MMGGOMGI_02594","COBIJBHN_03850","MMKPNOMF_02460"
"arnC_2","","Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase","11","11","1","2","344","","","","992","1196","1177","IFAABLLP_00925","KILBOEPI_00403","HAOMLHEB_02886","GMHKIMCO_03095","FEMKLHDF_02651","FAHJDOHN_02538","PKFAGLNB_01744","DHLPIOKO_02172","MMGGOMGI_02608","COBIJBHN_03865","MMKPNOMF_02474"
